item_id,calculation_or_assumption,independent_method,source_input,independent_result,r_engine_result,audited_excel_result,difference_or_tolerance,status,consequence,recommended_action
AUD-082,Feasibility quantities are invariant to the seed-mass bound for mass-supplied crops,Algebraic proof (seeds_per_m2 x seed_mass_g reduces to seeding_rate_kg_per_ha / 10) then numeric confirmation,Buckwheat and pearl millet at both TKW bounds,Feasible fraction and required search area should not depend on TKW,"Buckwheat 2756.5728049350 percent at both cells; pearl millet 25.4707327176 percent at both cells; required search areas likewise identical",7!M79 confirms the mass-basis form,Agreement to 1e-15,PASS,"Proves that the AUD-027 seed-count divergence cannot affect any feasible dietary fraction or required search area - it touches only the raw seed-count columns",None
AUD-083,Maximum search area does not cap or reduce the regulatory dose or RQ,"Code reading of R/calculations/05_feasibility.R and both builders, repository search for any pmin/min/pmax or multiplication linking a feasibility term to a dose term, then an override experiment",Overrode the small bird's MSA from 70 m2 to 10 m2 and rebuilt the canonical summary,Dose RQ and duration must not move,"initial_dose_mg_kg_bw_day, initial_rq and days_above_loc were bit-for-bit identical; initial_max_feasible_diet_fraction moved from 61.527 to 8.790; required_search_area correctly unchanged",,Exact (identical),PASS,"Specification section 10.3 is satisfied. No code path lets a feasibility quantity modify a dose, RQ or EDE.",None
AUD-084,The capped-dose column is quarantined,"Populated-ness check plus a search of the whole reporting layer",dose_capped_at_feasible_mg_kg_bw_day over 125280 rows,It must exist but never substitute for the regulatory dose,"Column is populated and differs from the uncapped dose in 12998 of 125280 rows; is always <= the regulatory dose; is never read by 30_plots.R, 31_tables.R, 32_word_export.R or 33_data_export.R and never appears in a Word or CSV table",,Not applicable,PASS,The sensitivity-only capped dose cannot leak into a regulatory table,None
AUD-085,Accessible seed pool when a receptor is not restricted to surface seed,Compared the engine's treatment with the workbook's surface-seed-accessible switch,Mammal receptors (surface_seed_only FALSE),"The workbook replaces the surface fraction by 1, giving the full sown density","Engine uses the full sown density and labels it SURFACE_PLUS_BURIED; but at time t it applies the SURFACE-SEED half-life to that full pool","Crop sheet formula IF(SSA_bird_small=Y, Method_standard_spring, 1)",Not applicable,DOCUMENTATION_GAP,"The specification (10.1) says only that the pool is N_ha/10000 rather than S(0). It is silent on whether buried seed declines on the surface-seed clock. That assumption is not auditable from the document alone.",State the buried-seed decline assumption explicitly in specification section 10.1 and record its justification.
AUD-086,application_rate = 0 gives zero dose per seed EDE RQ and duration,Values derived by inspection before running the engine,Barley broadcast low bound small bird 100 percent diet with rate 0,"D_seed 0, EDE 0, RQ 0, days above metric 0","D_seed 0, C 0, EDE 0, RQ 0, days 0",,Exact,PASS,Specification invariant 5 holds,None
AUD-087,diet_fraction = 0 gives zero EDE and zero seeds required,Values derived by inspection before running the engine,Barley 300 mg/kg small bird with diet fraction 0,EDE 0 and seeds required 0,EDE 0 and seeds required 0 at function level and in build_daily_timecourse,,Exact,PASS,Specification invariant 6 holds for the calculation functions and the time-course builder,None
AUD-088,diet_fraction = 0 aborts the scenario summary builder,Passed diet_fractions = 0 to both canonical builders,Barley broadcast small bird chronic screen,"Should be accepted, since invariant 6 names p_diet = 0 as valid","build_daily_timecourse succeeded with dose 0; build_scenario_summary aborted with 'target_diet_fraction must be strictly greater than 0'",,Not applicable,ROBUSTNESS_ISSUE,"The two canonical builders accept different input domains for the same argument. A spec-sanctioned input crashes one of them. Not reachable from the default STBAM_DIET_FRACTIONS, which excludes 0.","Make days_diet_fraction_feasible() return NA or Inf for a zero target rather than aborting, or have build_scenario_summary guard the zero case, so that both builders accept the domain the specification declares valid."
AUD-089,Doubling the concentration exactly doubles the dose per seed and the EDE,Ratio computed by hand before running the engine,Barley TKW 24.8 at 300 and 600 mg a.i./kg seed,Both ratios exactly 2,Both ratios exactly 2,,Exact,PASS,Specification invariant 7 holds in its strong (exact linear) form,None
AUD-090,At a fixed mg a.i./kg seed the field rate is proportional to the seeding rate,Ratio computed by hand before running the engine,300 mg a.i./kg seed at 44.64 and 89.28 kg seed/ha,Ratio exactly 2,Ratio exactly 2,,Exact,PASS,No non-linearity or offset in the field-loading conversion,None
AUD-091,Near-threshold risk quotient crossing,Independent Python arithmetic at the dietary fraction just below the computed threshold,"Barley 300 mg a.i./kg seed, small bird, 10 percent diet, chronic screening metric 7.78",RQ 0.9791973522126375 (below 1) with threshold at 10.2124 percent,0.9791973522126375; above_loc FALSE,,Exact,PASS,"The engine does not round an RQ across the acceptability threshold; the 10 percent / 25 percent bracket in the published narrative is reproduced",None
AUD-092,Changing one crop's TKW override does not change any other crop,Set a USER_OVERRIDE on tkw_g_per_1000 at scope 'Barley:low_tkw' (24.8 to 30) and rebuilt for Barley Rye and Oat,Canonical scenario summary for three crops,Only Barley low_tkw rows should change,"24 rows changed TKW, all Barley; every non-Barley row bit-for-bit identical on dose, RQ, seeds_per_ha, field rate and feasible fraction; Barley high_tkw rows unchanged; within Barley low_tkw the propagation was complete (44.64 to 54 kg/ha, D_seed 0.00744 to 0.009) and EDE correctly unchanged",,Exact (identical),PASS,No hidden cross-crop coupling in crop-scoped overrides,None
AUD-093,A global-scope override applies to every crop,Set tkw_g_per_1000 at scope 'global' and rebuilt for Barley and Oat,Two crops,Behaviour follows the documented scope fallback,"Both crops' TKW rewritten to 30; Oat's seeds/ha moved from 1992593 to 1793333",,Not applicable,ROBUSTNESS_ISSUE,"effective_value() falls back from the requested scope to 'global', so a global override silently rewrites every crop. This is by design but is a coupling hazard for an interactive user intending a single-crop change, and it is not warned about anywhere.",Document the global-scope fallback prominently in the specification and the user guide and surface a warning in any interface that offers a global scope.
AUD-094,A seeds_per_ha override leaves the mass seeding rate and field rate stale,Overrode seeds_per_ha for scope 'Barley:low' from 1800000 to 2400000 and inspected the resulting row,Canonical scenario_inputs row,"Row should stay self-consistent, i.e. seeds x TKW / 1e6 = kg/ha","Surface density correctly rose to 240 seeds/m2, but seeding_rate_kg_per_ha stayed at 44.64 (consistent value 59.52) and field_rate stayed at 13.392 g a.i./ha",,"Row identity violated by 33 percent; holds to 1.3e-16 everywhere in the baseline",ROBUSTNESS_ISSUE,"The engine's own section 5.2 round-trip identity is silently violated in the overridden row. seeds_per_ha and seeding_rate_kg_per_ha are independently overridable and are never cross-reconciled. Only a seeding_status label hints at it.","Either derive one of the pair from the other when only one is overridden, or emit an explicit warning and a consistency flag on the row."
AUD-095,clear_override(params parameter) with the documented default scope,Called the function exactly as documented,A parameter set holding two overrides,Should clear all overrides for that parameter,"Errors with 'Logical subscript keep must be size 1 or 2, not 0'. Passing an explicit scope works; clear_override(params) with no parameter works.",,Not applicable,ROBUSTNESS_ISSUE,"With scope = NULL the expression is.null(scope) | overrides$scope == scope evaluates to a zero-length logical and tibble subsetting rejects it. The documented call is unusable. This is the path a 'reset this parameter' control would take.",Guard the NULL scope case explicitly rather than relying on vector recycling.
AUD-096,Engine fails loudly on invalid scientific inputs,Exercised ten invalid-input conditions listed in specification section 16,"Negative body weight, negative rate, diet fraction 1.5 and -0.1, surface fraction 1.5, unrecognised rate unit, DT50 exactly 0, NA TKW, negative MSA, negative half-life",All ten should raise a named error,All ten raised a clear named error; none substituted a value. The NA message states that the model does not substitute defaults for missing scientific inputs.,,Not applicable,PASS,Specification section 16 is satisfied. Silent value substitution is not possible through these entry points.,None
AUD-097,Full chain for a mg a.i./seed scenario,Independent Python re-derivation of the whole chain then the engine,"Soybean 0.045 mg a.i./seed, precision planting, high bound, low TKW, medium mammal, 50 percent diet","C 481.2834224598931 mg/kg, EDE 30.032719343206274, RQ 16.684844079559042, days above 40.60466299435883, feasible fraction 96.19508533294115","C 481.2834224598931, EDE 30.03271934320627, RQ 16.68484407955904, days above 40.60466299435883, feasible fraction 96.19508533294119",,Agreement to 1e-15,PASS,The per-seed rate branch is correct through the entire chain including feasibility,None
AUD-098,Full chain for a second mg a.i./seed scenario,Independent Python re-derivation then the engine,"Cucumber processing 0.25 mg a.i./seed, precision, low bound, high TKW, small bird, 100 percent diet, acute screen","C 7575.757575757576 mg/kg, EDE 1923.776616215737, RQ 44.63518831127, days above 54.80109607412","C 7575.757575757576, EDE 1923.776616215737, RQ 44.63518831127001, days above 54.80109607412442",,Exact,PASS,"A very high per-seed rate with a very low surface density is handled correctly; the feasible fraction of 0.0084 correctly flags the exposure as physically implausible without altering the RQ",None
AUD-099,The 28-check fixture set named in specification section 13 is never read by any code,Repository-wide search for any reference to the fixture file,inst/fixtures/bird_small_cereals_calculation_checks.csv,The stated acceptance criterion should be machine-enforced,"No code reads the file. It is copied in by scripts/extract_reference_data.py and listed in the manifest; the test suite mentions only four fixture IDs in comments beside hard-coded numbers.",,Not applicable,DOCUMENTATION_GAP,"Specification section 13 requirement 1 is not enforced. Separately, several fixture values cannot meet a 1e-6 tolerance because they were computed from rounded intermediates (BSC-CALC-013 gives RQ 1.767981 from a rounded EDE of 76.2 against the exact 1.767553, a relative difference of 2.4e-4; BSC-CALC-019 gives 75.177416 days from a rounded 4135 percent against the exact 75.172930). The engine's values are the correct ones.","Reword the section 13 criterion to compare against values recomputed from exact inputs, treat the fixture's own rounded figures as display checks, and then implement the check so that it actually runs."
AUD-100,Source workbook integrity across the audit,SHA-256 computed before any reading and again after all reading,"THE 1 small cereals Bird and Mammal Seed Treatment RA Workbook 2026 for QAQC 08MAY2026.xlsm",Hash must be unchanged and must match the expected value,71440554B7B2134CAD5C59AB4F474FF081064BEB9D2467428EB9B0DE08FF8F93 before and after,71440554B7B2134CAD5C59AB4F474FF081064BEB9D2467428EB9B0DE08FF8F93 (expected),Identical,PASS,"The workbook was read statically only (OOXML zip, no Excel, no COM, no macro execution) and was not modified",None
