consideration_id,table162_decision_ids,applicable_decision_count,crop_use,taxon_receptor,scenario_applicability,theme,concise_consideration,direction,evidence_type,quantitative_value,source_document,source_table_section_appendix,traceability_status,uncertainty_qualification,relevance_to_table162_decision,related_existing_finding_trc_xrf_ids,evidence_interpretation_or_judgment
T162-C0041,T162-D0185; T162-D0197; T162-D0209; T162-D0221; T162-D0233; T162-D0245; T162-D0257; T162-D0269; T162-D0281; T162-D0293; T162-D0305; T162-D0317; T162-D0329; T162-D0341; T162-D0353; T162-D0365; T162-D0377; T162-D0389; T162-D0401; T162-D0413; T162-D0425; T162-D0437; T162-D0449; T162-D0461; T162-D0473; T162-D0485; T162-D0497; T162-D0509; T162-D0521; T162-D0533; T162-D0545; T162-D0557; T162-D0569; T162-D0581; T162-D0593; T162-D0605; T162-D0617; T162-D0629; T162-D0641; T162-D0653; T162-D0665; T162-D0677; T162-D0689; T162-D0701; T162-D0713; T162-D0725; T162-D0737; T162-D0749; T162-D0761; T162-D0773; T162-D0785; T162-D0797; T162-D0809; T162-D0821; T162-D0833; T162-D0845; T162-D0857; T162-D0869; T162-D0881; T162-D0893; T162-D0905; T162-D0917; T162-D0929; T162-D0941; T162-D0953; T162-D0965; T162-D0977; T162-D0989; T162-D1001; T162-D1013; T162-D1025; T162-D1037; T162-D1049; T162-D1061; T162-D1073; T162-D1085; T162-D1097; T162-D1109; T162-D1121; T162-D1133; T162-D1145; T162-D1157; T162-D1169; T162-D1181; T162-D1193; T162-D1205; T162-D1217; T162-D1229; T162-D1241; T162-D1253; T162-D1265; T162-D1277; T162-D1289; T162-D1301; T162-D1313; T162-D1325; T162-D1337; T162-D1349; T162-D1361; T162-D1373; T162-D1385; T162-D1397; T162-D1409; T162-D1421,104,Legumes,Bird; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"100% diet produces about 7-44 days above 7.78. At 0.076 mg/seed, durations are 15-44, 4.5-34 and 0-24 days at 100%, 50% and 25% diet; at 0.045 mg/seed, 7.4-37, 0-27 and 0-17 days.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 27-29; TABLES:Tables 32-40; Phase 3B Legumes workbook reconciliation; MAIN-H0037; MAIN-H0039; MAIN-P000509; MAIN-P000511; MAIN-P000515; MAIN-P000517; MAIN-P000519; MAIN-P000521; MAIN-P000536; MAIN-P000538; MAIN-P000547; MAIN-P000560; MAIN-P000567; MAIN-P000575; MAIN-P000577; MAIN-P000584; MAIN-P000591; MAIN-P000598; MAIN-P000605,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; TRC-001,EVIDENCE
T162-C0042,T162-D0184; T162-D0196; T162-D0208; T162-D0220; T162-D0232; T162-D0244; T162-D0256; T162-D0268; T162-D0280; T162-D0292; T162-D0304; T162-D0316; T162-D0328; T162-D0340; T162-D0352; T162-D0364; T162-D0376; T162-D0388; T162-D0400; T162-D0412; T162-D0424; T162-D0436; T162-D0448; T162-D0460; T162-D0472; T162-D0484; T162-D0496; T162-D0508; T162-D0520; T162-D0532; T162-D0544; T162-D0556; T162-D0568; T162-D0580; T162-D0592; T162-D0604; T162-D0616; T162-D0628; T162-D0640; T162-D0652; T162-D0664; T162-D0676; T162-D0688; T162-D0700; T162-D0712; T162-D0724; T162-D0736; T162-D0748; T162-D0760; T162-D0772; T162-D0784; T162-D0796; T162-D0808; T162-D0820; T162-D0832; T162-D0844; T162-D0856; T162-D0868; T162-D0880; T162-D0892; T162-D0904; T162-D0916; T162-D0928; T162-D0940; T162-D0952; T162-D0964; T162-D0976; T162-D0988; T162-D1000; T162-D1012; T162-D1024; T162-D1036; T162-D1048; T162-D1060; T162-D1072; T162-D1084; T162-D1096; T162-D1108; T162-D1120; T162-D1132; T162-D1144; T162-D1156; T162-D1168; T162-D1180; T162-D1192; T162-D1204; T162-D1216; T162-D1228; T162-D1240; T162-D1252; T162-D1264; T162-D1276; T162-D1288; T162-D1300; T162-D1312; T162-D1324; T162-D1336; T162-D1348; T162-D1360; T162-D1372; T162-D1384; T162-D1396; T162-D1408; T162-D1420,104,Legumes,Bird; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"one to three seeds can exceed chronic metrics in several high-loading/large-seed cases. At 25% diet, 200 mg/kg gives about 4 days above 7.78 and no exceedance of 10.8; at 300 mg/kg or more, durations are about 14 and 10 days.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 27-29; TABLES:Tables 32-40; Phase 3B Legumes workbook reconciliation; MAIN-H0037; MAIN-H0039; MAIN-P000509; MAIN-P000511; MAIN-P000515; MAIN-P000517; MAIN-P000519; MAIN-P000521; MAIN-P000536; MAIN-P000538; MAIN-P000547; MAIN-P000560; MAIN-P000567; MAIN-P000575; MAIN-P000577; MAIN-P000584; MAIN-P000591; MAIN-P000598; MAIN-P000605,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; TRC-001,EVIDENCE
T162-C0043,T162-D0189; T162-D0201; T162-D0213; T162-D0225; T162-D0237; T162-D0249; T162-D0261; T162-D0273; T162-D0285; T162-D0297; T162-D0309; T162-D0321; T162-D0333; T162-D0345; T162-D0357; T162-D0369; T162-D0381; T162-D0393; T162-D0405; T162-D0417; T162-D0429; T162-D0441; T162-D0453; T162-D0465; T162-D0477; T162-D0489; T162-D0501; T162-D0513; T162-D0525; T162-D0537; T162-D0549; T162-D0561; T162-D0573; T162-D0585; T162-D0597; T162-D0609; T162-D0621; T162-D0633; T162-D0645; T162-D0657; T162-D0669; T162-D0681; T162-D0693; T162-D0705; T162-D0717; T162-D0729; T162-D0741; T162-D0753; T162-D0765; T162-D0777; T162-D0789; T162-D0801; T162-D0813; T162-D0825; T162-D0837; T162-D0849; T162-D0861; T162-D0873; T162-D0885; T162-D0897; T162-D0909; T162-D0921; T162-D0933; T162-D0945; T162-D0957; T162-D0969; T162-D0981; T162-D0993; T162-D1005; T162-D1017; T162-D1029; T162-D1041; T162-D1053; T162-D1065; T162-D1077; T162-D1089; T162-D1101; T162-D1113; T162-D1125; T162-D1137; T162-D1149; T162-D1161; T162-D1173; T162-D1185; T162-D1197; T162-D1209; T162-D1221; T162-D1233; T162-D1245; T162-D1257; T162-D1269; T162-D1281; T162-D1293; T162-D1305; T162-D1317; T162-D1329; T162-D1341; T162-D1353; T162-D1365; T162-D1377; T162-D1389; T162-D1401; T162-D1413; T162-D1425,104,Legumes,Mammal; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"Tables 105-113 and the reconciled workbook outputs are populated, but the current mammalian Legumes narrative ends before stating table numbers, quantitative interpretation or risk characterization.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 105-113; Phase 3B Legumes workbook reconciliation; MAIN-H0071; MAIN-H0074; MAIN-P001235; MAIN-P001247; MAIN-P001249; PH-00021,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; CLR-003; PH-00021; TRC-001,EVIDENCE
T162-C0044,T162-D0188; T162-D0200; T162-D0212; T162-D0224; T162-D0236; T162-D0248; T162-D0260; T162-D0272; T162-D0284; T162-D0296; T162-D0308; T162-D0320; T162-D0332; T162-D0344; T162-D0356; T162-D0368; T162-D0380; T162-D0392; T162-D0404; T162-D0416; T162-D0428; T162-D0440; T162-D0452; T162-D0464; T162-D0476; T162-D0488; T162-D0500; T162-D0512; T162-D0524; T162-D0536; T162-D0548; T162-D0560; T162-D0572; T162-D0584; T162-D0596; T162-D0608; T162-D0620; T162-D0632; T162-D0644; T162-D0656; T162-D0668; T162-D0680; T162-D0692; T162-D0704; T162-D0716; T162-D0728; T162-D0740; T162-D0752; T162-D0764; T162-D0776; T162-D0788; T162-D0800; T162-D0812; T162-D0824; T162-D0836; T162-D0848; T162-D0860; T162-D0872; T162-D0884; T162-D0896; T162-D0908; T162-D0920; T162-D0932; T162-D0944; T162-D0956; T162-D0968; T162-D0980; T162-D0992; T162-D1004; T162-D1016; T162-D1028; T162-D1040; T162-D1052; T162-D1064; T162-D1076; T162-D1088; T162-D1100; T162-D1112; T162-D1124; T162-D1136; T162-D1148; T162-D1160; T162-D1172; T162-D1184; T162-D1196; T162-D1208; T162-D1220; T162-D1232; T162-D1244; T162-D1256; T162-D1268; T162-D1280; T162-D1292; T162-D1304; T162-D1316; T162-D1328; T162-D1340; T162-D1352; T162-D1364; T162-D1376; T162-D1388; T162-D1400; T162-D1412; T162-D1424,104,Legumes,Mammal; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"Tables 105-113 and the reconciled workbook outputs are populated, but the current mammalian Legumes narrative ends before stating table numbers, quantitative interpretation or risk characterization.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 105-113; Phase 3B Legumes workbook reconciliation; MAIN-H0071; MAIN-H0074; MAIN-P001235; MAIN-P001247; MAIN-P001249; PH-00021,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; CLR-003; PH-00021; TRC-001,EVIDENCE
T162-C0045,T162-D0187; T162-D0199; T162-D0211; T162-D0223; T162-D0235; T162-D0247; T162-D0259; T162-D0271; T162-D0283; T162-D0295; T162-D0307; T162-D0319; T162-D0331; T162-D0343; T162-D0355; T162-D0367; T162-D0379; T162-D0391; T162-D0403; T162-D0415; T162-D0427; T162-D0439; T162-D0451; T162-D0463; T162-D0475; T162-D0487; T162-D0499; T162-D0511; T162-D0523; T162-D0535; T162-D0547; T162-D0559; T162-D0571; T162-D0583; T162-D0595; T162-D0607; T162-D0619; T162-D0631; T162-D0643; T162-D0655; T162-D0667; T162-D0679; T162-D0691; T162-D0703; T162-D0715; T162-D0727; T162-D0739; T162-D0751; T162-D0763; T162-D0775; T162-D0787; T162-D0799; T162-D0811; T162-D0823; T162-D0835; T162-D0847; T162-D0859; T162-D0871; T162-D0883; T162-D0895; T162-D0907; T162-D0919; T162-D0931; T162-D0943; T162-D0955; T162-D0967; T162-D0979; T162-D0991; T162-D1003; T162-D1015; T162-D1027; T162-D1039; T162-D1051; T162-D1063; T162-D1075; T162-D1087; T162-D1099; T162-D1111; T162-D1123; T162-D1135; T162-D1147; T162-D1159; T162-D1171; T162-D1183; T162-D1195; T162-D1207; T162-D1219; T162-D1231; T162-D1243; T162-D1255; T162-D1267; T162-D1279; T162-D1291; T162-D1303; T162-D1315; T162-D1327; T162-D1339; T162-D1351; T162-D1363; T162-D1375; T162-D1387; T162-D1399; T162-D1411; T162-D1423,104,Legumes,Mammal; Acute; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"Tables 105-113 and the reconciled workbook outputs are populated, but the current mammalian Legumes narrative ends before stating table numbers, quantitative interpretation or risk characterization.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 105-113; Phase 3B Legumes workbook reconciliation; MAIN-H0071; MAIN-H0074; MAIN-P001235; MAIN-P001247; MAIN-P001249; PH-00021,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; CLR-003; PH-00021; TRC-001,EVIDENCE
T162-C0046,T162-D0192; T162-D0204; T162-D0216; T162-D0228; T162-D0240; T162-D0252; T162-D0264; T162-D0276; T162-D0288; T162-D0300; T162-D0312; T162-D0324; T162-D0336; T162-D0348; T162-D0360; T162-D0372; T162-D0384; T162-D0396; T162-D0408; T162-D0420; T162-D0432; T162-D0444; T162-D0456; T162-D0468; T162-D0480; T162-D0492; T162-D0504; T162-D0516; T162-D0528; T162-D0540; T162-D0552; T162-D0564; T162-D0576; T162-D0588; T162-D0600; T162-D0612; T162-D0624; T162-D0636; T162-D0648; T162-D0660; T162-D0672; T162-D0684; T162-D0696; T162-D0708; T162-D0720; T162-D0732; T162-D0744; T162-D0756; T162-D0768; T162-D0780; T162-D0792; T162-D0804; T162-D0816; T162-D0828; T162-D0840; T162-D0852; T162-D0864; T162-D0876; T162-D0888; T162-D0900; T162-D0912; T162-D0924; T162-D0936; T162-D0948; T162-D0960; T162-D0972; T162-D0984; T162-D0996; T162-D1008; T162-D1020; T162-D1032; T162-D1044; T162-D1056; T162-D1068; T162-D1080; T162-D1092; T162-D1104; T162-D1116; T162-D1128; T162-D1140; T162-D1152; T162-D1164; T162-D1176; T162-D1188; T162-D1200; T162-D1212; T162-D1224; T162-D1236; T162-D1248; T162-D1260; T162-D1272; T162-D1284; T162-D1296; T162-D1308; T162-D1320; T162-D1332; T162-D1344; T162-D1356; T162-D1368; T162-D1380; T162-D1392; T162-D1404; T162-D1416; T162-D1428,104,Legumes,Mammal; Chronic; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"Tables 105-113 and the reconciled workbook outputs are populated, but the current mammalian Legumes narrative ends before stating table numbers, quantitative interpretation or risk characterization.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 105-113; Phase 3B Legumes workbook reconciliation; MAIN-H0071; MAIN-H0074; MAIN-P001235; MAIN-P001247; MAIN-P001249; PH-00021,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; CLR-003; PH-00021; TRC-001,EVIDENCE
T162-C0047,T162-D0191; T162-D0203; T162-D0215; T162-D0227; T162-D0239; T162-D0251; T162-D0263; T162-D0275; T162-D0287; T162-D0299; T162-D0311; T162-D0323; T162-D0335; T162-D0347; T162-D0359; T162-D0371; T162-D0383; T162-D0395; T162-D0407; T162-D0419; T162-D0431; T162-D0443; T162-D0455; T162-D0467; T162-D0479; T162-D0491; T162-D0503; T162-D0515; T162-D0527; T162-D0539; T162-D0551; T162-D0563; T162-D0575; T162-D0587; T162-D0599; T162-D0611; T162-D0623; T162-D0635; T162-D0647; T162-D0659; T162-D0671; T162-D0683; T162-D0695; T162-D0707; T162-D0719; T162-D0731; T162-D0743; T162-D0755; T162-D0767; T162-D0779; T162-D0791; T162-D0803; T162-D0815; T162-D0827; T162-D0839; T162-D0851; T162-D0863; T162-D0875; T162-D0887; T162-D0899; T162-D0911; T162-D0923; T162-D0935; T162-D0947; T162-D0959; T162-D0971; T162-D0983; T162-D0995; T162-D1007; T162-D1019; T162-D1031; T162-D1043; T162-D1055; T162-D1067; T162-D1079; T162-D1091; T162-D1103; T162-D1115; T162-D1127; T162-D1139; T162-D1151; T162-D1163; T162-D1175; T162-D1187; T162-D1199; T162-D1211; T162-D1223; T162-D1235; T162-D1247; T162-D1259; T162-D1271; T162-D1283; T162-D1295; T162-D1307; T162-D1319; T162-D1331; T162-D1343; T162-D1355; T162-D1367; T162-D1379; T162-D1391; T162-D1403; T162-D1415; T162-D1427,104,Legumes,Mammal; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"Tables 105-113 and the reconciled workbook outputs are populated, but the current mammalian Legumes narrative ends before stating table numbers, quantitative interpretation or risk characterization.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 105-113; Phase 3B Legumes workbook reconciliation; MAIN-H0071; MAIN-H0074; MAIN-P001235; MAIN-P001247; MAIN-P001249; PH-00021,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; CLR-003; PH-00021; TRC-001,EVIDENCE
T162-C0048,T162-D0190; T162-D0202; T162-D0214; T162-D0226; T162-D0238; T162-D0250; T162-D0262; T162-D0274; T162-D0286; T162-D0298; T162-D0310; T162-D0322; T162-D0334; T162-D0346; T162-D0358; T162-D0370; T162-D0382; T162-D0394; T162-D0406; T162-D0418; T162-D0430; T162-D0442; T162-D0454; T162-D0466; T162-D0478; T162-D0490; T162-D0502; T162-D0514; T162-D0526; T162-D0538; T162-D0550; T162-D0562; T162-D0574; T162-D0586; T162-D0598; T162-D0610; T162-D0622; T162-D0634; T162-D0646; T162-D0658; T162-D0670; T162-D0682; T162-D0694; T162-D0706; T162-D0718; T162-D0730; T162-D0742; T162-D0754; T162-D0766; T162-D0778; T162-D0790; T162-D0802; T162-D0814; T162-D0826; T162-D0838; T162-D0850; T162-D0862; T162-D0874; T162-D0886; T162-D0898; T162-D0910; T162-D0922; T162-D0934; T162-D0946; T162-D0958; T162-D0970; T162-D0982; T162-D0994; T162-D1006; T162-D1018; T162-D1030; T162-D1042; T162-D1054; T162-D1066; T162-D1078; T162-D1090; T162-D1102; T162-D1114; T162-D1126; T162-D1138; T162-D1150; T162-D1162; T162-D1174; T162-D1186; T162-D1198; T162-D1210; T162-D1222; T162-D1234; T162-D1246; T162-D1258; T162-D1270; T162-D1282; T162-D1294; T162-D1306; T162-D1318; T162-D1330; T162-D1342; T162-D1354; T162-D1366; T162-D1378; T162-D1390; T162-D1402; T162-D1414; T162-D1426,104,Legumes,Mammal; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"Tables 105-113 and the reconciled workbook outputs are populated, but the current mammalian Legumes narrative ends before stating table numbers, quantitative interpretation or risk characterization.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 105-113; Phase 3B Legumes workbook reconciliation; MAIN-H0071; MAIN-H0074; MAIN-P001235; MAIN-P001247; MAIN-P001249; PH-00021,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-004; CLR-003; PH-00021; TRC-001,EVIDENCE
T162-C0049,T162-D0003; T162-D0015; T162-D0027; T162-D0039; T162-D0051; T162-D0063; T162-D0075; T162-D0087; T162-D0099,9,Small Cereals,Bird; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,the assessment states the acute screening result is acceptable for large birds across the Small Cereals uses.,DECREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 21-29; MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-001; CAL-002; CON-002; TRC-001,EVIDENCE
T162-C0050,T162-D0002; T162-D0014; T162-D0026; T162-D0038; T162-D0050; T162-D0062; T162-D0074; T162-D0086; T162-D0098,9,Small Cereals,Bird; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 300 mg/kg and 100% treated-seed diet, EDE remains above 43.1 mg/kg bw/d for about 5 days; availability and dietary fraction are the main refinements.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 21-29; MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-001; CAL-002; CON-002; TRC-001,EVIDENCE
T162-C0051,T162-D0001; T162-D0013; T162-D0025; T162-D0037; T162-D0049; T162-D0061; T162-D0073; T162-D0085; T162-D0097,9,Small Cereals,Bird; Acute; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"the assessment reports that at 300 mg/kg and 100% treated-seed diet, EDE remains above 43.1 mg/kg bw/d for about 8 days and above 67 for about 2 days, but not above 104; lower rates and realistic dietary fractions reduce exposure.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 21-29; MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-001; CAL-002; CON-002; TRC-001,EVIDENCE
T162-C0052,T162-D0006; T162-D0018; T162-D0030; T162-D0042; T162-D0054; T162-D0066; T162-D0078; T162-D0090; T162-D0102,9,Small Cereals,Bird; Chronic; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 300/200 mg/kg and 100% diet, the large-bird 7.78 mg/kg bw/d duration is about 12/6 days; at 50% it is about 2/0 days.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 21-29; MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-001; CAL-002; CON-002; TRC-001,EVIDENCE
T162-C0053,T162-D0005; T162-D0017; T162-D0029; T162-D0041; T162-D0053; T162-D0065; T162-D0077; T162-D0089; T162-D0101,9,Small Cereals,Bird; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 300/200 mg/kg and 100% diet, the 7.78 mg/kg bw/d duration is about 29/24 days; the narrative's '20%' statement conflicts with the 25% table column.",CONTEXT_ONLY,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 21-29; MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-001; CAL-002; CON-002; CON-003; TRC-001,EVIDENCE
T162-C0054,T162-D0004; T162-D0016; T162-D0028; T162-D0040; T162-D0052; T162-D0064; T162-D0076; T162-D0088; T162-D0100,9,Small Cereals,Bird; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at 300/200 mg/kg and 100% diet, 7.78 mg/kg bw/d is exceeded for about 33/27 days and 10.8 for 28/22 days; at 25% diet the 7.78 durations are about 13/7 days. At 100 mg/kg, duration is about 17 days at 100%, 7 at 50%, and zero at 25%.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 21-29; MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,CAL-001; CAL-002; CON-002; TRC-001,EVIDENCE
T162-C0055,T162-D0009; T162-D0021; T162-D0033; T162-D0045; T162-D0057; T162-D0069; T162-D0081; T162-D0093; T162-D0105,9,Small Cereals,Mammal; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,the assessment reports acceptable acute screening for all three mammal sizes; burial and mixed diet further reduce the all-seed-available exposure estimate.,DECREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 96-104; MAIN-H0068; MAIN-H0070; MAIN-P001193; MAIN-P001217; MAIN-P001219; MAIN-P001221; MAIN-P001225,TRACEABLE_WITH_RECONCILED_EXCEPTIONS,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
